COVID clinical aspect,0,COVID-19,0,isClinicalAspectFor,Equivalent class some
COVID model,0,COVID-19,0,isModelFor,Equivalent class some
COVID prevention and control,0,COVID-19,0,isPreventionAndControlFor,Equivalent class some
COVID risk factor,0,COVID-19,0,isRiskFactorFor,Equivalent class some
COVID signs and symptoms,0,COVID-19,0,isSignAndSymptomsFor,Equivalent class some
COVID transmission process,0,COVID-19,0,isTransmissionProcessFor,Equivalent class some
COVID Virology,0,COVID-19,0,isVirologyFor,Equivalent class some
continuant,0,entity,0,is_subclass_of,
occurent,0,entity,0,is_subclass_of,
patient,0,entity,0,is_subclass_of,
person_attribute,0,entity,0,is_subclass_of,
sign,0,entity,0,is_subclass_of,
person,0,entity,0,is_subclass_of,
generically dependent continuant,0,continuant,0,is_subclass_of,
independent continuant,0,continuant,0,is_subclass_of,
specifically depedent continuant,0,continuant,0,is_subclass_of,
information content entity,0,generically dependent continuant,0,is_subclass_of,
data item,0,information content entity,0,is_subclass_of,
directive information entity,0,information content entity,0,is_subclass_of,
Model,0,information content entity,0,is_subclass_of,
average value,0,data item,0,is_subclass_of,
clinical data item,0,data item,0,is_subclass_of,
Data Capture,0,data item,0,is_subclass_of,
measurement datum,0,data item,0,is_subclass_of,
travel history item,0,data item,0,is_subclass_of,
reproduction number,0,average value,0,is_subclass_of,
basic reproduction number,0,reproduction number,0,is_subclass_of,
basic reproduction number,0,COVID-19,0,isTransmissionProcessFor,Subclass some
clinical finding,0,clinical data item,0,is_subclass_of,
diagnosis,0,clinical data item,0,is_subclass_of,
laboratory finding,0,clinical finding,0,is_subclass_of,
physical examination finding,0,clinical finding,0,is_subclass_of,
abnormal resiratory finding,0,laboratory finding,0,is_subclass_of,
Antibody Titer,0,laboratory finding,0,is_subclass_of,
bilateral involvement,0,laboratory finding,0,is_subclass_of,
Negative Test Result,0,laboratory finding,0,is_subclass_of,
patchy consolidation,0,laboratory finding,0,is_subclass_of,
peripheral distribution,0,laboratory finding,0,is_subclass_of,
Positive laboratory Test Result,0,laboratory finding,0,is_subclass_of,
posterior distribution,0,laboratory finding,0,is_subclass_of,
RNAaemia,0,laboratory finding,0,is_subclass_of,
laboratory finding,0,COVID-19,0,isSignAndSymptomsFor,Subclass some
positive COVID-19 test,0,Positive laboratory Test Result,0,is_subclass_of,
presumptive positive COVID-19 test,0,Positive laboratory Test Result,0,is_subclass_of,
asymptomatic,0,diagnosis,0,is_subclass_of,
comorbidity,0,diagnosis,0,is_subclass_of,
Diagnosis Differntial,0,diagnosis,0,is_subclass_of,
drive-thru testing,0,diagnosis,0,is_subclass_of,
quick test,0,diagnosis,0,is_subclass_of,
Symptomatic,0,diagnosis,0,is_subclass_of,
diagnosis,0,COVID-19,0,isClinicalAspectFor,Subclass some
COVID-19,0,comorbidity,0,isRiskFactorFor,Subclass some
COVID-19,0,Diagnosis Differntial,0,isRiskFactorFor,Subclass some
Data Capture,0,COVID-19,0,isClinicalAspectFor,Subclass some
clinical measurement,0,measurement datum,0,is_subclass_of,
blood measurement,0,clinical measurement,0,is_subclass_of,
cardiovascular measurement,0,clinical measurement,0,is_subclass_of,
cell measurement,0,clinical measurement,0,is_subclass_of,
common compute tomography pattern,0,clinical measurement,0,is_subclass_of,
higher sequential organ failure assessment score,0,clinical measurement,0,is_subclass_of,
Respiratory Rate,0,clinical measurement,0,is_subclass_of,
blood cell measurement,0,blood measurement,0,is_subclass_of,
blood chemistry measurement,0,blood measurement,0,is_subclass_of,
oxygen saturation,0,blood measurement,0,is_subclass_of,
oxygen saturation,0,COVID-19,0,isRiskFactorFor,Subclass some
blood measurement,0,COVID-19,0,isClinicalAspectFor,Subclass some
Erythrocyte Count,0,blood cell measurement,0,is_subclass_of,
platelet count,0,blood cell measurement,0,is_subclass_of,
white blood cell count,0,blood cell measurement,0,is_subclass_of,
blood cell measurement,0,cell measurement,0,is_subclass_of,
blood lympphocyte count,0,white blood cell count,0,is_subclass_of,
CD-3-positive T-lymphocyte count,0,blood lympphocyte count,0,is_subclass_of,
D-dimer measurement,0,blood chemistry measurement,0,is_subclass_of,
prothrombin time,0,blood chemistry measurement,0,is_subclass_of,
D-dimer measurement,0,COVID-19,0,isRiskFactorFor,Subclass some
prothrombin time,0,COVID-19,0,isRiskFactorFor,Subclass some
heart rate,0,cardiovascular measurement,0,is_subclass_of,
mean arterial blood pressure,0,cardiovascular measurement,0,is_subclass_of,
pulse,0,cardiovascular measurement,0,is_subclass_of,
common compute tomography pattern,0,COVID-19,0,isSignAndSymptomsFor,Subclass some
higher sequential organ failure assessment score,0,COVID-19,0,isRiskFactorFor,Subclass some
travel history item,0,COVID-19,0,isPreventionAndControlFor,Subclass some
action specification,0,directive information entity,0,is_subclass_of,
plan specification,0,directive information entity,0,is_subclass_of,
data processing operation,0,action specification,0,is_subclass_of,
data analysis operation,0,data processing operation,0,is_subclass_of,
computational phylogenetic analysis,0,data analysis operation,0,is_subclass_of,
enrichment for domain families within the interacting proteins,0,data analysis operation,0,is_subclass_of,
gene ontology enrichment analysis,0,data analysis operation,0,is_subclass_of,
graph-based analysis operation,0,data analysis operation,0,is_subclass_of,
infectious disease control strategy,0,plan specification,0,is_subclass_of,
contact tracing,0,infectious disease control strategy,0,is_subclass_of,
infectious disease control strategy,0,COVID-19,0,isPreventionAndControlFor,Subclass some
Biological Model,0,Model,0,is_subclass_of,
in silico model,0,Model,0,is_subclass_of,
Biological Model,0,COVID-19,0,isModelFor,Subclass some
Experimental Model,0,Biological Model,0,is_subclass_of,
In Vitro Model,0,Experimental Model,0,is_subclass_of,
In Vivo Model,0,Experimental Model,0,is_subclass_of,
Animal Model,0,In Vivo Model,0,is_subclass_of,
SAR-CoV-1 model,0,Animal Model,0,is_subclass_of,
SAR-CoV-2 model,0,Animal Model,0,is_subclass_of,
in silico model,0,COVID-19,0,isModelFor,Subclass some
computational model,0,in silico model,0,is_subclass_of,
BEL based model,0,computational model,0,is_subclass_of,
Molecular Docking Simulation,0,computational model,0,is_subclass_of,
immaterial entity,0,independent continuant,0,is_subclass_of,
material entity,0,independent continuant,0,is_subclass_of,
continuant fiat boundary,0,immaterial entity,0,is_subclass_of,
site,0,immaterial entity,0,is_subclass_of,
spatial region,0,immaterial entity,0,is_subclass_of,
one-dimensional continuant fiat boundary,0,continuant fiat boundary,0,is_subclass_of,
two-dimensional continuant fiat boundary,0,continuant fiat boundary,0,is_subclass_of,
zero-dimensional continuant fiat boundary,0,continuant fiat boundary,0,is_subclass_of,
Wuhan,0,site,0,is_subclass_of,
one-dimensional spatial region,0,spatial region,0,is_subclass_of,
two-dimensional spatial region,0,spatial region,0,is_subclass_of,
three-dimensional spatial region,0,spatial region,0,is_subclass_of,
zero-dimensional spatial region,0,spatial region,0,is_subclass_of,
anatomical entity,0,material entity,0,is_subclass_of,
cell,0,material entity,0,is_subclass_of,
cellular component,0,material entity,0,is_subclass_of,
disorder,0,material entity,0,is_subclass_of,
fiat object part,0,material entity,0,is_subclass_of,
gene,0,material entity,0,is_subclass_of,
haplotype,0,material entity,0,is_subclass_of,
host,0,material entity,0,is_subclass_of,
metabolite,0,material entity,0,is_subclass_of,
object,0,material entity,0,is_subclass_of,
object aggregate,0,material entity,0,is_subclass_of,
processed material,0,material entity,0,is_subclass_of,
protein,0,material entity,0,is_subclass_of,
root,0,material entity,0,is_subclass_of,
specimen,0,material entity,0,is_subclass_of,
material anatomical entity,0,anatomical entity,0,is_subclass_of,
anatomical structure,0,material anatomical entity,0,is_subclass_of,
organism substance,0,material anatomical entity,0,is_subclass_of,
anatomical system,0,anatomical structure,0,is_subclass_of,
ectoderm-derived structure,0,anatomical structure,0,is_subclass_of,
endoderm-derived structure,0,anatomical structure,0,is_subclass_of,
lateral structure,0,anatomical structure,0,is_subclass_of,
mesoderm-derived structure,0,anatomical structure,0,is_subclass_of,
multicellular anatomical structure,0,anatomical structure,0,is_subclass_of,
structure with developmental contribution from neural crest,0,anatomical structure,0,is_subclass_of,
anatomical system,0,COVID-19,0,isClinicalAspectFor,Subclass some
brain renin-angiotensin system,0,anatomical system,0,is_subclass_of,
respiratory system,0,anatomical system,0,is_subclass_of,
brain,0,ectoderm-derived structure,0,is_subclass_of,
nose,0,ectoderm-derived structure,0,is_subclass_of,
alveolar system,0,endoderm-derived structure,0,is_subclass_of,
liver,0,endoderm-derived structure,0,is_subclass_of,
lung,0,endoderm-derived structure,0,is_subclass_of,
alveolar system,0,COVID-19,0,isClinicalAspectFor,Subclass some
kidney,0,lateral structure,0,is_subclass_of,
lung,0,lateral structure,0,is_subclass_of,
blood vessel,0,mesoderm-derived structure,0,is_subclass_of,
heart ,0,mesoderm-derived structure,0,is_subclass_of,
anatomical conduit,0,multicellular anatomical structure,0,is_subclass_of,
organ,0,multicellular anatomical structure,0,is_subclass_of,
organ part,0,multicellular anatomical structure,0,is_subclass_of,
organ system subdivision,0,multicellular anatomical structure,0,is_subclass_of,
organism subdivision,0,multicellular anatomical structure,0,is_subclass_of,
vessel,0,anatomical conduit,0,is_subclass_of,
blood vessel,0,vessel,0,is_subclass_of,
brain,0,organ,0,is_subclass_of,
compound organ,0,organ,0,is_subclass_of,
digestive system element,0,organ,0,is_subclass_of,
gland,0,organ,0,is_subclass_of,
respiration organ,0,organ,0,is_subclass_of,
sense organ,0,organ,0,is_subclass_of,
trunk region element,0,organ,0,is_subclass_of,
cavitated compound organ,0,compound organ,0,is_subclass_of,
circulatory organ,0,compound organ,0,is_subclass_of,
kidney,0,cavitated compound organ,0,is_subclass_of,
primary circulatory organ,0,circulatory organ,0,is_subclass_of,
heart,0,primary circulatory organ,0,is_subclass_of,
digestive system gland,0,digestive system element,0,is_subclass_of,
liver,0,digestive system gland,0,is_subclass_of,
endocrine gland,0,gland,0,is_subclass_of,
exocrine gland,0,gland,0,is_subclass_of,
digestive system gland,0,endocrine gland,0,is_subclass_of,
liver,0,exocrine gland,0,is_subclass_of,
lung,0,respiration organ,0,is_subclass_of,
eye,0,sense organ,0,is_subclass_of,
olfactory organ,0,sense organ,0,is_subclass_of,
nose,0,olfactory organ,0,is_subclass_of,
abdominal segment element,0,trunk region element,0,is_subclass_of,
