population density,0,density,0,is_subclass_of
density,0,measurement datum,0,is_subclass_of
measure relating to aggregate of vertebrates,0,measurement datum,0,is_subclass_of
composite index,0,measurement datum,0,is_subclass_of
house index,0,measurement datum,0,is_subclass_of
container index,0,measurement datum,0,is_subclass_of
Breteau index,0,measurement datum,0,is_subclass_of
risk factor,0,measurement datum,0,is_subclass_of
man biting rate,0,measurement datum,0,is_subclass_of
parous rate,0,measurement datum,0,is_subclass_of
human blood index,0,measurement datum,0,is_subclass_of
entomological inoculation rate,0,measurement datum,0,is_subclass_of
measure relating to aggregate of arthropods,0,measurement datum,0,is_subclass_of
measure relating to vertebrate host,0,measurement datum,0,is_subclass_of
interleukin 8,0,human host protein,0,is_subclass_of
anti-E Ab,0,human host protein,0,is_subclass_of
CD36,0,human host protein,0,is_subclass_of
defensin,0,human host protein,0,is_subclass_of
lysozyme,0,human host protein,0,is_subclass_of
interleukin 2,0,human host protein,0,is_subclass_of
interleukin 12,0,human host protein,0,is_subclass_of
interleukin 4,0,human host protein,0,is_subclass_of
interleukin 13,0,human host protein,0,is_subclass_of
perforin,0,human host protein,0,is_subclass_of
interleukin 10,0,human host protein,0,is_subclass_of
immunoglobulin,0,human host protein,0,is_subclass_of
C3b,0,human host protein,0,is_subclass_of
glycosylphosphatidylinositol anchor,0,human host protein,0,is_subclass_of
human ankyrin,0,human host protein,0,is_subclass_of
human glycophorin A,0,human host protein,0,is_subclass_of
human glycophorin C,0,human host protein,0,is_subclass_of
human spectrin,0,human host protein,0,is_subclass_of
human actin,0,human host protein,0,is_subclass_of
human band 4.1 protein,0,human host protein,0,is_subclass_of
human haemoglobin,0,human host protein,0,is_subclass_of
human glucose-6-phosphate dehydrogenase,0,human host protein,0,is_subclass_of
interferon-gamma,0,human host protein,0,is_subclass_of
tumor necrosis factor-alpha,0,human host protein,0,is_subclass_of
toll like receptor 2,0,human host protein,0,is_subclass_of
toll like receptor 9,0,human host protein,0,is_subclass_of
CD209,0,human host protein,0,is_subclass_of
complement receptor type 1,0,human host protein,0,is_subclass_of
CD14,0,human host protein,0,is_subclass_of
signal transducer and activator of transcription 2,0,human host protein,0,is_subclass_of
signal transducer and activator of transcription 3,0,human host protein,0,is_subclass_of
heat shock 70 kDa protein 4,0,human host protein,0,is_subclass_of
granzyme B,0,human host protein,0,is_subclass_of
calnexin,0,human host protein,0,is_subclass_of
clusterin,0,human host protein,0,is_subclass_of
death domain-associated protein 6,0,human host protein,0,is_subclass_of
heterogeneous nuclear ribonucleoproteins C1/C2,0,human host protein,0,is_subclass_of
heterogeneous nuclear ribonucleoprotein K,0,human host protein,0,is_subclass_of
heat shock protein HSP 90-alpha,0,human host protein,0,is_subclass_of
78 kDa glucose-regulated protein,0,human host protein,0,is_subclass_of
nuclear receptor-binding protein,0,human host protein,0,is_subclass_of
polypyrimidine tract-binding protein 1,0,human host protein,0,is_subclass_of
40S ribosomal protein SA,0,human host protein,0,is_subclass_of
tight junction protein ZO-1,0,human host protein,0,is_subclass_of
SUMO-conjugating enzyme UBC9,0,human host protein,0,is_subclass_of
Dengue serotype 1 virus,0,Dengue virus,0,is_subclass_of
Dengue serotype 2 virus,0,Dengue virus,0,is_subclass_of
Dengue serotype 3 virus,0,Dengue virus,0,is_subclass_of
Dengue serotype 4 virus,0,Dengue virus,0,is_subclass_of
Dengue serotype 5 virus,0,Dengue virus,0,is_subclass_of
Dengue virus,0,Viruses,0,is_subclass_of
virion,0,Viruses,0,is_subclass_of
dengue vertical transmission process,0,dengue transmission,0,is_subclass_of
indirect dengue transmission process,0,dengue transmission,0,is_subclass_of
secondary pathogen,0,pathogen,0,is_subclass_of
acquired immunity to serotype 1 dengue,0,acquired immunity to dengue,0,is_subclass_of
